"user_id","age_bracket","tier","gender","oPhone","oWatch","oPods","oTV","date","card"
55,"18-25","silver","female",1,0,1,0,2023-09-24,"Visa_debit"
56,"25-34","silver","male",1,0,1,0,2023-01-12,"Mastercard_credit"
57,"25-34","silver","female",0,0,0,1,2023-12-20,"Visa_credit"
58,"25-34","silver","male",1,0,0,0,2023-01-29,"Visa_debit"
59,"18-25","silver","male",0,0,1,0,2023-11-08,"Visa_debit"
60,"34-50","silver","female",1,0,0,0,2023-01-06,"Mastercard_credit"
61,"34-50","platinum","male",0,0,1,0,2023-01-25,"Mastercard_debit"
62,"18-25","silver","female",1,0,0,0,2023-04-16,"Visa_debit"
63,"18-25","silver","other",0,0,1,0,2023-06-26,"Visa_debit"
64,"18-25","gold","female",0,0,1,0,2023-03-17,"Mastercard_credit"
65,"18-25","silver","female",1,0,0,0,2023-07-25,"Other_debit"
66,"25-34","silver","female",1,0,0,0,2023-08-24,"Mastercard_debit"
67,"18-25","gold","male",1,0,0,0,2023-11-26,"Mastercard_credit"
68,"25-34","gold","female",0,1,0,0,2023-07-10,"Visa_credit"
69,"18-25","silver","male",1,0,1,0,2023-05-13,"Visa_debit"
70,"25-34","silver","female",1,1,0,0,2023-09-26,"Visa_debit"
71,"18-25","silver","male",1,0,1,0,2023-10-06,"Visa_credit"
72,"34-50","gold","male",1,1,1,0,2023-09-10,"Mastercard_credit"
73,"18-25","gold","female",0,0,1,0,2023-12-18,"Visa_debit"
74,"25-34","silver","female",0,0,1,0,2023-11-21,"Other_debit"
75,"18-25","silver","female",1,0,0,0,2023-06-09,"Visa_debit"
76,"25-34","silver","female",1,0,1,0,2023-07-07,"Visa_credit"
77,"18-25","platinum","female",1,0,0,0,2023-04-10,"Visa_credit"
78,"18-25","gold","female",1,1,0,0,2023-11-02,"Mastercard_credit"
79,"18-25","silver","female",0,1,1,0,2023-07-02,"Visa_debit"
80,"25-34","silver","female",1,0,1,0,2023-11-04,"Mastercard_debit"
81,"34-50","silver","female",0,0,1,0,2023-05-01,"Visa_debit"
82,"25-34","silver","male",0,0,1,0,2023-08-25,"Visa_debit"
83,"18-25","gold","female",1,0,1,0,2023-12-02,"Visa_debit"
84,"25-34","gold","male",1,0,0,0,2023-09-14,"Visa_credit"
85,"18-25","silver","male",1,0,0,0,2023-09-01,"Visa_debit"
86,"34-50","silver","female",-,1,0,0,2023-10-22,"Visa_debit"
87,"18-25","silver","female",0,0,1,0,2023-08-01,"Visa_credit"
88,"18-25","gold","female",1,0,1,0,2023-03-01,"Visa_debit"
89,"18-25","silver","female",0,0,1,0,2023-07-19,"Visa_debit"
90,"34-50","platinum","male",1,0,0,0,2023-12-01,"Other_debit"
91,"18-25","silver","male",1,0,1,0,2023-08-10,"Other_credit"
92,"34-50","gold","male",1,0,0,0,2023-02-22,"Visa_credit"
93,"18-25","gold","female",1,0,1,0,2023-06-21,"Mastercard_credit"
94,"18-25","gold","other",1,0,1,0,2023-07-30,"Visa_debit"
95,"18-25","silver","female",1,0,0,0,2023-05-20,"Visa_debit"
96,"25-34","gold","male",1,1,0,0,2023-06-21,"Visa_credit"
97,"18-25","gold","male",1,0,0,0,2023-07-07,"Visa_debit"
98,"18-25","silver","male",1,0,1,0,2023-01-15,"Visa_debit"
99,"18-25","gold","female",1,1,0,0,2023-06-11,"Visa_credit"
100,"25-34","silver","female",0,0,0,1,2023-06-23,"Visa_debit"
101,"18-25","silver","male",1,0,0,0,2023-02-03,"Visa_debit"
102,"25-34","silver","female",1,0,0,0,2023-09-28,"Mastercard_debit"
103,"18-25","platinum","female",1,0,1,0,2023-06-01,"Visa_debit"
104,"18-25","silver","male",0,1,0,0,2023-01-25,"Visa_debit"
105,"18-25","silver","male",1,0,1,0,2023-07-04,"Mastercard_credit"
106,"18-25","gold","female",0,0,0,1,2023-08-18,"Mastercard_debit"
107,"18-25","silver","female",0,1,0,0,2023-07-09,"Visa_credit"
108,"18-25","silver","female",0,1,1,0,2023-07-27,"Other_debit"
109,"18-25","gold","other",1,0,0,0,2023-06-14,"Visa_debit"
110,"18-25","silver","male",0,1,0,0,2023-01-03,"Mastercard_credit"
111,"25-34","silver",-,1,0,1,0,2023-05-29,"Mastercard_credit"
112,"18-25","silver","male",1,1,0,0,2023-07-28,"Visa_credit"
113,">50","platinum","male",1,0,0,0,2023-12-03,"Other_debit"
114,"18-25","silver","female",1,0,0,0,2023-10-13,"Mastercard_credit"
115,"18-25","silver","female",1,1,0,0,2023-05-30,"Visa_debit"
116,"34-50","gold","male",1,1,1,1,2023-09-18,"Mastercard_credit"
117,"34-50","gold","male",1,0,0,0,2023-09-03,"Other_debit"
118,"18-25","gold","female",0,0,1,0,2023-12-03,"Visa_credit"
119,"18-25","gold","male",1,1,1,1,2023-04-15,"Visa_credit"
120,"25-34","silver","female",0,1,0,0,2023-12-13,"Visa_credit"
121,"25-34","silver","female",1,0,1,0,2023-01-18,"Mastercard_credit"
122,"34-50","silver","male",1,0,1,0,2023-09-04,"Mastercard_credit"
123,">50","silver","female",0,1,0,1,2023-04-24,"Mastercard_debit"
124,"34-50","silver","female",1,1,0,0,2023-10-11,"Mastercard_credit"
125,"25-34","silver","male",1,0,0,0,2023-11-20,"Visa_debit"
126,"18-25","silver","female",1,0,0,0,2023-03-12,"Visa_debit"
127,"18-25","silver","female",1,0,1,0,2023-02-06,"Visa_debit"
128,"25-34","silver","female",1,0,0,0,2023-12-25,"Visa_debit"
129,"25-34","silver","male",0,1,1,0,2023-01-12,"Visa_debit"
130,"18-25","silver","male",1,0,1,0,2023-08-08,"Visa_debit"
131,">50","silver","male",1,1,0,0,2023-04-01,"Mastercard_debit"
132,"25-34","gold","male",1,0,0,0,2023-10-21,"Visa_debit"
133,"18-25","silver","male",0,0,1,0,2023-04-18,"Visa_debit"
134,"18-25","silver","female",0,1,0,0,2023-11-19,"Visa_debit"
135,"34-50","silver","male",0,0,1,0,2023-05-28,"Visa_debit"
136,"25-34","silver","male",1,1,1,0,2023-05-10,"Visa_debit"
137,"34-50","gold","female",0,0,0,1,2023-03-25,"Visa_debit"
138,"25-34","platinum","female",1,0,0,1,2023-11-20,"Visa_debit"
139,"25-34","silver","female",0,0,1,0,2023-03-06,"Visa_debit"
140,"34-50","silver","female",1,0,1,1,2023-09-12,"Mastercard_credit"
141,"25-34","silver","female",1,1,0,0,2023-02-09,"Visa_credit"
142,">50","gold","female",0,0,1,0,2023-03-06,"Visa_debit"
143,"18-25","silver","male",1,0,1,1,2023-10-16,"Mastercard_credit"
144,"25-34","gold","male",0,0,1,1,2023-06-25,"Mastercard_credit"
145,"18-25","gold","other",0,0,1,0,2023-01-10,"Mastercard_credit"
146,"25-34","silver","other",1,1,0,0,2023-09-20,"Visa_debit"
147,"25-34","silver","male",1,0,0,0,2023-01-01,"Visa_debit"
148,"25-34","silver","female",1,0,1,0,2023-10-10,"Visa_debit"
149,">50","silver","female",1,0,0,0,2023-06-12,"Visa_debit"
150,"25-34","silver","male",1,0,1,0,2023-03-04,"Visa_credit"
151,"18-25","gold","female",0,0,1,0,2023-12-05,"Visa_debit"
152,"18-25","gold","female",1,0,0,0,2023-02-02,"Visa_credit"
153,"18-25","silver","male",0,1,0,0,2023-05-04,"Visa_credit"
154,"34-50","platinum","female",1,0,1,1,2023-04-22,"Mastercard_credit"
155,"18-25","silver","female",0,0,1,0,2023-08-20,"Visa_credit"
156,">50","silver","male",0,0,1,0,2023-10-02,"Other_debit"
157,"25-34","silver","female",1,1,0,0,2023-06-20,"Visa_debit"
158,">50",-,"male",1,0,0,0,2023-10-29,"Mastercard_credit"
159,"18-25","silver","male",1,0,0,0,2023-10-07,"Mastercard_credit"
160,"25-34","gold","male",0,0,1,0,2023-12-30,"Visa_debit"
161,"18-25","gold","female",0,0,1,0,2023-01-11,"Visa_debit"
162,"25-34","silver","female",1,0,0,0,2023-11-14,"Mastercard_credit"
163,"18-25","platinum","female",1,0,0,0,2023-05-10,"Mastercard_credit"
164,"18-25","silver","female",1,1,1,0,2023-05-22,"Visa_debit"
165,"18-25","gold","male",1,0,0,0,2023-11-19,"Mastercard_credit"
166,"25-34","gold","male",1,0,0,0,2023-10-12,"Visa_credit"
167,"18-25","silver","female",0,1,0,0,2023-09-01,"Visa_debit"
168,"18-25","silver","female",0,1,1,0,2023-04-03,"Other_debit"
169,"34-50","silver","female",1,0,1,0,2023-04-29,"Visa_debit"
170,"18-25","gold","male",1,1,0,0,2023-03-16,"Visa_debit"
171,"25-34","silver","female",1,1,1,0,2023-07-03,"Visa_credit"
172,"25-34","silver","female",1,0,0,0,2023-02-07,"Visa_debit"
173,"25-34","platinum","female",1,0,0,0,2023-09-15,"Visa_debit"
174,"18-25","silver","male",1,0,0,0,2023-10-01,"Visa_debit"
175,"18-25","silver","female",0,1,0,0,2023-08-07,"Visa_credit"
176,"25-34","gold","male",1,1,0,1,2023-04-18,"Mastercard_credit"
177,"18-25","silver","male",1,0,0,0,2023-02-21,"Mastercard_credit"
178,"25-34","silver","female",1,0,1,0,2023-05-06,"Visa_debit"
179,"18-25","silver","female",1,1,1,0,2023-02-15,"Visa_credit"
180,"18-25","silver","male",1,1,0,0,2023-06-20,"Mastercard_credit"
181,"25-34","silver","female",1,0,1,0,2023-06-19,"Other_debit"
182,"18-25","silver","female",1,1,0,0,2023-01-26,"Visa_debit"
183,"25-34","silver","male",1,1,0,0,2023-06-28,"Visa_debit"
184,"18-25","silver","female",0,0,1,0,2023-04-17,"Visa_debit"
185,">50","gold","male",1,0,0,0,2023-01-04,"Mastercard_credit"
186,"18-25","silver","female",0,0,1,0,2023-07-19,"Visa_debit"
187,"34-50","silver","female",1,1,1,0,2023-03-18,"Visa_debit"
188,"25-34","silver","female",1,0,1,0,2023-04-25,"Visa_debit"
189,"18-25","silver","female",1,0,0,1,2023-01-28,"Visa_credit"
190,"25-34","silver","female",1,0,1,0,2023-11-06,"Visa_credit"
191,"25-34","gold","female",1,0,0,0,2023-10-12,"Visa_debit"
192,">50","gold","female",0,1,1,0,2023-10-23,"Mastercard_debit"
193,"18-25","silver","other",1,0,1,0,2023-01-16,"Visa_debit"
194,"34-50","platinum","female",1,1,0,0,2023-08-25,"Visa_debit"
195,"34-50","platinum","female",0,0,1,0,2023-07-07,"Mastercard_credit"
196,"34-50","gold","male",0,0,1,0,2023-04-10,"Visa_debit"
197,"34-50","silver","female",1,0,0,0,2023-07-08,"Visa_debit"
198,"25-34","silver","male",1,0,0,0,2023-05-12,"Visa_debit"
199,">50","silver","female",0,0,1,0,2023-10-27,"Mastercard_credit"
200,"25-34","silver","female",0,0,1,0,2023-10-24,"Visa_credit"
201,"25-34","platinum","male",1,0,0,0,2023-11-02,"Other_debit"
202,"25-34","gold","male",1,1,0,0,2023-06-27,"Mastercard_credit"
203,"18-25","silver","male",1,1,0,0,2023-12-06,"Visa_debit"
204,"25-34","silver","male",1,0,0,0,2023-05-25,"Mastercard_credit"
205,"25-34","gold","female",0,1,0,1,2023-01-21,"Visa_debit"
206,"25-34","silver","female",1,0,0,0,2023-07-21,"Visa_debit"
207,"18-25","gold","male",0,0,1,0,2023-05-02,"Visa_debit"
208,"18-25","gold","female",0,0,1,0,2023-03-17,"Visa_debit"
209,"18-25","gold","female",0,1,0,0,2023-08-02,"Other_debit"
210,">50","silver","other",1,0,0,0,2023-11-20,"Visa_debit"
211,"25-34","silver","female",1,0,1,0,2023-11-03,"Mastercard_credit"
212,"18-25","silver","male",0,0,1,0,2023-04-26,"Mastercard_credit"
213,"18-25","gold","female",0,0,0,1,2023-12-14,"Visa_credit"
214,"25-34","silver","male",1,0,0,0,2023-07-03,"Other_debit"
215,"25-34","gold","female",1,0,0,0,2023-12-27,"Visa_debit"
216,"34-50","silver","female",1,1,0,0,2023-11-25,"Mastercard_credit"
217,"25-34","gold","female",1,1,0,0,2023-08-26,"Mastercard_credit"
218,"25-34","silver","female",0,0,0,1,2023-11-21,"Mastercard_credit"
219,"25-34","silver","female",1,1,0,0,2023-08-02,"Visa_debit"
220,"34-50","silver","male",0,1,0,0,2023-11-06,"Visa_debit"
221,"18-25","silver",-,1,0,1,0,2023-09-05,"Visa_credit"
222,"18-25","platinum","female",1,0,1,0,2023-12-09,"Visa_debit"
223,"18-25","silver","female",0,0,0,1,2023-07-25,"Visa_debit"
224,"18-25","silver","female",1,0,0,0,2023-07-17,"Visa_debit"
225,"18-25","silver","male",0,0,1,0,2023-02-21,"Mastercard_debit"
226,"25-34","platinum","female",0,1,0,0,2023-09-17,"Visa_debit"
227,"34-50","silver","male",0,0,1,0,2023-01-08,"Mastercard_credit"
228,"18-25","silver","female",0,0,0,1,2023-04-21,"Visa_debit"
229,"25-34","silver","male",1,0,0,0,2023-05-12,"Visa_credit"
230,"25-34","silver","male",0,0,1,0,2023-10-23,"Other_credit"
231,"25-34","silver","male",1,0,0,1,2023-08-15,"Visa_debit"
232,"25-34","silver","male",1,0,0,0,2023-10-30,"Visa_debit"
233,"18-25","gold","female",1,0,1,0,2023-04-07,"Visa_credit"
234,"34-50","gold",-,1,0,0,0,2023-05-22,"Visa_debit"
235,"25-34","silver","male",0,1,0,0,2023-10-16,"Visa_debit"
236,"18-25","platinum","male",1,0,1,0,2023-06-15,"Visa_debit"
237,"25-34","gold","female",1,1,1,0,2023-03-27,"Mastercard_credit"
238,"18-25","silver","female",0,1,1,0,2023-06-29,"Mastercard_credit"
239,"25-34","gold","female",0,0,0,1,2023-07-30,"Visa_debit"
240,">50","silver","female",1,0,1,0,2023-07-22,"Visa_debit"
241,"18-25","silver","female",0,1,0,0,2023-11-22,"Visa_debit"
242,"18-25","silver","male",0,0,1,0,2023-09-01,"Visa_debit"
243,"18-25","gold","female",1,0,1,1,2023-09-20,"Visa_credit"
244,"25-34","silver","female",1,0,0,0,2023-05-22,"Visa_debit"
245,">50","silver","male",1,0,0,0,2023-07-02,"Mastercard_credit"
246,"25-34","platinum","male",1,0,1,0,2023-01-05,"Visa_credit"
247,"25-34","silver","female",1,1,0,0,2023-05-20,"Mastercard_credit"
248,"25-34","gold","male",1,0,0,0,2023-11-25,"Mastercard_credit"
249,">50","silver","female",0,0,1,0,2023-09-26,"Visa_credit"
250,"25-34","gold","female",1,1,1,0,2023-07-24,"Visa_debit"
251,"25-34","silver","female",0,1,0,0,2023-05-06,"Visa_debit"
252,"25-34","silver","female",0,0,0,1,2023-01-21,"Other_debit"
253,"18-25","gold","male",1,0,1,0,2023-10-08,"Visa_debit"
254,"18-25","silver","female",0,0,1,0,2023-08-16,"Visa_debit"
255,"18-25","silver","male",1,1,0,0,2023-09-28,"Mastercard_credit"
256,"25-34","silver","male",1,1,1,0,2023-04-07,"Visa_debit"
257,"18-25","silver","female",1,1,1,0,2023-09-07,"Other_debit"
258,"18-25","gold","male",1,1,0,0,2023-02-20,"Visa_credit"
259,"25-34","silver","female",1,0,1,0,2023-10-10,"Visa_debit"
260,"25-34","silver","male",1,0,0,0,2023-07-03,"Mastercard_credit"
261,"34-50","platinum","male",0,1,1,0,2023-03-28,"Visa_debit"
262,"18-25","silver","female",1,0,0,0,2023-11-23,"Visa_debit"
263,"25-34","silver","male",0,0,0,1,2023-06-18,"Mastercard_debit"
264,"18-25","silver","female",0,0,0,1,2023-08-17,"Visa_debit"
265,"18-25","silver","female",1,0,1,0,2023-06-01,"Visa_credit"
266,"18-25","silver","other",0,0,1,0,2023-02-01,"Visa_debit"
267,"25-34","platinum","female",1,0,0,0,2023-06-07,"Mastercard_credit"
268,"18-25","silver","female",1,0,0,0,2023-06-12,"Mastercard_credit"
269,"18-25","silver","female",0,0,0,1,2023-05-12,"Visa_credit"
270,"25-34","gold","male",1,0,0,0,2023-01-31,"Visa_debit"
271,"18-25","silver","female",1,1,0,0,2023-01-25,"Mastercard_credit"
272,"25-34","silver","female",1,1,0,0,2023-01-16,"Visa_debit"
273,"18-25","silver","female",0,0,1,0,2023-03-28,"Visa_debit"
274,"25-34","silver","female",1,0,0,0,2023-09-17,"Mastercard_debit"
275,"18-25","silver","female",0,1,1,0,2023-06-02,"Mastercard_debit"
276,"25-34","silver","male",1,1,1,0,2023-10-09,"Mastercard_credit"
277,"34-50","silver","female",1,0,1,0,2023-09-17,"Visa_credit"
278,"25-34","silver","female",1,1,1,0,2023-11-08,"Visa_debit"
279,"18-25","silver","male",1,0,0,0,2023-03-25,"Mastercard_credit"
280,"18-25","gold","male",0,1,0,0,2023-03-23,"Visa_debit"
281,"18-25","gold","female",0,0,1,0,2023-11-01,"Mastercard_credit"
282,"18-25","silver","female",1,0,0,0,2023-01-27,"Visa_credit"
283,"34-50","gold","male",0,0,0,1,2023-11-16,"Mastercard_debit"
284,"25-34","silver","male",0,1,0,0,2023-01-09,"Visa_credit"
285,"25-34","gold","female",0,0,1,0,2023-01-26,"Mastercard_debit"
286,"18-25","silver","male",1,0,1,0,2023-08-22,"Visa_debit"
287,"25-34","gold","male",0,0,1,1,2023-08-21,"Mastercard_credit"
288,"18-25","silver","female",1,0,1,0,2023-11-02,"Visa_credit"
289,"25-34","silver","female",1,0,0,0,2023-05-30,"Mastercard_credit"
290,"34-50","platinum","male",1,0,0,0,2023-11-29,"Visa_debit"
291,"25-34","silver","male",1,0,0,0,2023-06-19,"Visa_credit"
292,"18-25","silver","female",1,1,1,0,2023-08-14,"Mastercard_debit"
293,">50","silver","male",0,0,1,0,2023-03-27,"Visa_debit"
294,"18-25","platinum","female",0,1,1,0,2023-04-11,"Mastercard_credit"
295,"25-34","silver","female",1,0,1,0,2023-10-18,"Visa_debit"
296,"25-34","gold","female",0,0,1,0,2023-10-21,"Visa_debit"
297,"25-34","silver","female",1,0,0,1,2023-06-07,"Visa_debit"
298,"18-25","gold","female",1,0,0,0,2023-03-10,"Visa_debit"
299,"25-34","silver","female",1,1,0,0,2023-01-26,"Visa_debit"
300,"18-25","silver","female",1,0,1,0,2023-07-23,"Mastercard_debit"
301,"18-25","platinum","female",1,0,0,1,2023-02-26,"Visa_credit"
302,">50","silver","female",1,0,1,0,2023-01-23,"Visa_debit"
303,"25-34","silver","male",1,0,0,0,2023-12-31,"Visa_credit"
304,"18-25","gold","female",1,0,1,0,2023-03-17,"Mastercard_credit"
305,"34-50","gold","female",1,0,0,0,2023-05-19,"Visa_debit"
306,"25-34","silver","female",0,0,0,1,2023-06-18,"Visa_credit"
307,"18-25","silver","female",0,1,0,0,2023-10-13,"Visa_debit"
308,">50","silver","female",1,0,0,0,2023-04-26,"Mastercard_debit"
309,"25-34","gold","female",0,0,1,0,2023-07-06,"Visa_credit"
310,"25-34","silver","female",1,0,0,0,2023-11-15,"Mastercard_debit"
311,"34-50","silver","male",1,0,1,0,2023-08-18,"Mastercard_credit"
312,"25-34","silver","male",1,0,1,0,2023-04-03,"Visa_debit"
313,"18-25","gold","female",0,0,1,0,2023-06-27,"Mastercard_credit"
314,"18-25","silver","female",0,1,1,0,2023-04-01,"Mastercard_credit"
315,"18-25","silver","male",0,1,0,0,2023-06-25,"Visa_debit"
316,"18-25","silver","male",0,0,1,0,2023-03-07,"Visa_debit"
317,"18-25","silver","female",0,1,0,0,2023-07-25,"Mastercard_debit"
318,"18-25","gold","male",0,0,1,0,2023-10-31,"Mastercard_credit"
319,"18-25","silver","female",1,0,1,0,2023-05-25,"Visa_debit"
320,"34-50","silver","female",1,0,1,0,2023-09-02,"Mastercard_debit"
321,"18-25","platinum","female",0,1,0,0,2023-01-23,"Mastercard_credit"
322,"34-50","platinum","female",1,1,1,1,2023-04-12,"Visa_credit"
323,"18-25","gold","female",0,0,1,0,2023-11-17,"Mastercard_debit"
324,-,"silver","male",0,0,1,0,2023-01-29,"Mastercard_debit"
325,"18-25","silver","male",0,1,0,0,2023-07-09,"Other_debit"
326,"18-25","silver","female",1,0,0,0,2023-04-09,"Visa_debit"
327,"18-25","silver","male",1,1,1,0,2023-08-16,"Visa_credit"
328,"18-25","gold","female",1,1,0,0,2023-03-22,"Visa_debit"
329,"25-34","silver","female",1,0,1,0,2023-06-07,"Other_debit"
330,"34-50","gold","other",1,1,1,0,2023-08-18,"Visa_debit"
331,"25-34","silver","female",0,0,1,0,2023-04-10,"Visa_debit"
332,"34-50","gold","female",1,1,0,0,2023-10-14,"Visa_debit"
333,">50","gold","female",1,1,1,0,2023-07-30,"Visa_debit"
334,"18-25","silver","female",0,1,0,0,2023-08-21,"Mastercard_debit"
335,"25-34","platinum","female",1,1,0,0,2023-02-27,"Mastercard_debit"
336,"18-25","gold","other",0,0,0,1,2023-10-24,"Visa_credit"
337,"18-25","platinum","male",1,0,1,0,2023-12-30,"Other_credit"
338,"18-25","gold","female",0,0,1,0,2023-03-01,"Visa_debit"
339,"34-50","gold","male",1,0,0,0,2023-11-29,"Other_debit"
340,"18-25","silver","female",1,0,0,0,2023-12-05,"Visa_credit"
341,">50","silver","female",0,1,0,0,2023-03-31,"Mastercard_credit"
342,"18-25","silver","female",1,0,1,0,2023-04-27,"Visa_debit"
343,"25-34","gold","male",0,0,1,0,2023-09-14,"Visa_debit"
344,">50","silver","female",0,0,1,0,2023-04-14,"Mastercard_credit"
345,"18-25","gold","female",1,1,0,0,2023-04-27,"Visa_credit"
346,"18-25","silver","female",1,0,0,0,2023-05-21,"Mastercard_debit"
347,"18-25","silver","female",1,0,0,0,2023-08-27,"Visa_debit"
348,"25-34","silver","female",0,0,0,1,2023-12-22,"Visa_debit"
349,"34-50","silver","female",0,0,1,0,2023-01-09,"Mastercard_debit"
350,"18-25","silver","male",0,1,0,0,2023-10-24,"Visa_credit"
351,"18-25","gold","female",1,0,0,0,2023-06-24,"Mastercard_debit"
352,"25-34","silver","female",1,0,0,0,2023-07-10,"Mastercard_debit"
353,"18-25","gold","female",1,0,0,0,2023-07-11,"Visa_debit"
354,"25-34","silver","female",1,0,0,0,2023-04-14,"Mastercard_debit"
355,">50","silver","male",1,0,0,0,2023-12-14,"Other_debit"
356,"34-50","gold","female",1,0,0,0,2023-01-09,"Visa_debit"
357,"25-34","silver","female",1,0,1,0,2023-12-30,"Mastercard_credit"
358,"25-34","gold","other",1,1,1,0,2023-08-11,"Visa_credit"
359,"25-34","silver","female",1,0,1,0,2023-04-16,"Visa_debit"
360,"25-34","platinum","female",1,0,0,0,2023-07-08,"Visa_debit"
361,"18-25","silver","male",1,1,0,0,2023-02-05,"Visa_credit"
362,"25-34","silver","male",1,0,1,0,2023-10-22,"Mastercard_credit"
363,"25-34","silver",-,1,1,0,0,2023-08-13,"Mastercard_credit"
364,"18-25","gold","female",1,0,0,0,2023-06-27,"Mastercard_credit"
365,"34-50","silver","male",1,0,0,0,2023-09-05,"Visa_debit"
366,">50","gold","other",0,1,0,0,2023-02-07,"Visa_debit"
367,"25-34","gold","male",1,1,0,0,2023-03-18,"Visa_debit"
368,"18-25","silver","male",1,1,0,0,2023-12-16,"Visa_debit"
369,-,"silver","female",1,0,0,0,2023-08-31,"Visa_debit"
370,"25-34","silver","male",0,0,1,0,2023-09-02,"Mastercard_debit"
371,">50","silver","female",1,0,0,1,2023-09-15,"Visa_debit"
372,"18-25","gold","male",1,0,0,1,2023-12-18,"Mastercard_debit"
373,"34-50","platinum","female",1,0,0,0,2023-08-14,"Visa_debit"
374,"25-34","gold","male",1,0,0,0,2023-03-11,"Visa_debit"
375,"18-25","gold","female",1,0,1,0,2023-12-23,"Visa_debit"
376,"18-25","silver","male",1,0,1,0,2023-05-09,"Visa_debit"
377,"25-34","silver","female",1,0,1,0,2023-05-21,"Visa_debit"
378,"18-25","silver","male",1,0,1,0,2023-02-07,"Mastercard_credit"
379,"18-25","platinum","female",0,1,0,0,2023-08-16,"Visa_debit"
380,"25-34","gold","female",1,0,1,0,2023-09-24,"Visa_credit"
381,"18-25","silver","female",1,0,0,0,2023-03-27,"Visa_debit"
